distCode,shopNo,distName,latitude,longitude,utilization_ratio,portability_ratio,log_volatility,log_rice_wheat,persona,hdb_persona,behavioral_intensity_index
539,2352037,Nalgonda,16.59045,79.31665,0.637513,0.3205994,7.095806,8.751753,High-Portability Transit Hubs,Core Cluster,0.534888
539,2352038,Nalgonda,16.590464,79.316345,0.81373495,0.37270793,7.1800733,8.899896,Stable Rural Mainstream,Core Cluster,0.611156
539,2352040,Nalgonda,16.674433,79.20921,0.680445,0.013924508,6.674879,8.373458,High-Portability Transit Hubs,Core Cluster,0.41232035
539,2352041,Nalgonda,16.788889,79.235725,0.79211515,0.11078879,6.6031504,8.25886,High-Portability Transit Hubs,Core Cluster,0.48238975
539,2352042,Nalgonda,16.696451,79.26846,0.7364133,0.5087021,7.1298842,8.721006,High-Portability Transit Hubs,Core Cluster,0.6408336
539,2352043,Nalgonda,16.72911,79.20929,0.92849725,0.54187155,7.264249,8.838592,Urban Mobility-Driven,Core Cluster,0.7158053
539,2352044,Nalgonda,16.585093,79.31911,0.61706454,0.23298727,7.412051,9.049103,Stable Rural Mainstream,Core Cluster,0.5033083
539,2353005,Nalgonda,16.68029,79.093994,0.6515441,0.044986464,7.1742787,8.887129,Stable Rural Mainstream,Core Cluster,0.4312342
539,2353012,Nalgonda,16.639282,79.079765,0.7461523,0.04952864,6.8605766,8.414572,High-Portability Transit Hubs,Core Cluster,0.45191106
539,2353015,Nalgonda,16.627518,79.21235,0.65926886,0.008639909,6.39326,8.086262,High-Portability Transit Hubs,Core Cluster,0.39530507
539,2353016,Nalgonda,16.60556,79.22537,0.72159505,0.05299981,7.414822,9.115552,Stable Rural Mainstream,Core Cluster,0.46275657
539,2353017,Nalgonda,16.68741,79.06673,0.6877896,0.123352565,7.243372,8.839526,Stable Rural Mainstream,Core Cluster,0.47555166
539,2353018,Nalgonda,16.68953,79.07326,0.8531723,0.2865533,7.4122434,8.943349,Stable Rural Mainstream,Core Cluster,0.5955729
539,2353019,Nalgonda,16.70988,79.080376,0.68668944,0.13914834,7.5452614,9.177686,Stable Rural Mainstream,Core Cluster,0.4907038
539,2353020,Nalgonda,16.696596,79.04773,0.7081789,0.036381926,7.222087,8.994087,Stable Rural Mainstream,Core Cluster,0.44623405
539,2353021,Nalgonda,16.714947,79.10472,0.8049453,0.19182284,7.402542,8.991819,Stable Rural Mainstream,Core Cluster,0.5429181
539,2353022,Nalgonda,16.735456,79.086296,0.9683789,0.2481946,6.877295,8.452077,Stable Rural Mainstream,Core Cluster,0.59855294
539,2353026,Nalgonda,16.60364,79.116615,0.5449732,0.04785059,6.249353,8.069515,High-Portability Transit Hubs,Core Cluster,0.37233233
539,2353027,Nalgonda,16.607231,79.08424,0.6113362,0.08844151,7.261509,8.8891325,Stable Rural Mainstream,Core Cluster,0.43920174
539,2353028,Nalgonda,16.670214,79.058174,0.71911556,0.0824269,6.623303,8.280309,High-Portability Transit Hubs,Core Cluster,0.44975686
539,2353029,Nalgonda,16.679186,79.116066,0.8199797,0.039924756,7.397851,9.03415,Stable Rural Mainstream,Core Cluster,0.4865268
539,2353030,Nalgonda,16.63859,79.115395,0.8965025,0.2391647,7.1042213,8.663714,Stable Rural Mainstream,Core Cluster,0.5802664
539,2353031,Nalgonda,16.630047,79.126274,0.87201667,0.568867,7.041907,8.58033,Urban Mobility-Driven,Core Cluster,0.70291
539,2353032,Nalgonda,16.634146,79.1065,0.719246,0.013363818,6.747992,8.426642,High-Portability Transit Hubs,Core Cluster,0.4259557
539,2353033,Nalgonda,16.59182,79.13949,0.76520926,0.11536354,6.5305257,8.084775,High-Portability Transit Hubs,Core Cluster,0.47394338
539,2353034,Nalgonda,16.613895,79.15344,0.8344773,0.6354248,6.9212103,8.598805,Urban Mobility-Driven,Core Cluster,0.7146076
539,2353035,Nalgonda,16.688864,79.13384,0.86747336,0.06359368,7.457659,9.0406275,Stable Rural Mainstream,Core Cluster,0.5120579
539,2353036,Nalgonda,16.671206,79.1271,0.7748197,0.06382071,6.454894,8.0070915,High-Portability Transit Hubs,Core Cluster,0.45391354
539,2353037,Nalgonda,16.69821,79.13187,0.8341348,0.17404917,6.836683,8.3846855,High-Portability Transit Hubs,Core Cluster,0.52738875
539,2353038,Nalgonda,16.632343,79.11721,0.77571213,0.25600943,6.4521627,8.25338,High-Portability Transit Hubs,Core Cluster,0.53097385
539,2353039,Nalgonda,16.644905,79.06293,0.6343363,0.06499295,6.762141,8.286591,High-Portability Transit Hubs,Core Cluster,0.42156398
539,2353040,Nalgonda,16.680779,79.041954,0.5954335,0.07163539,6.283648,7.9091983,High-Portability Transit Hubs,Core Cluster,0.39802536
539,2354001,Nalgonda,16.864862,79.10967,0.8795684,0.27930966,7.3416843,8.993676,Stable Rural Mainstream,Core Cluster,0.59845245
539,2354002,Nalgonda,16.865187,79.1089,0.9522433,0.38571522,7.442367,9.031737,Urban Mobility-Driven,Core Cluster,0.66587335
539,2354003,Nalgonda,16.758148,79.03579,0.8318582,0.2637093,7.580263,9.062372,Stable Rural Mainstream,Core Cluster,0.58514136
539,2354004,Nalgonda,16.817678,79.13976,0.8888476,0.276628,7.431539,8.93845,Stable Rural Mainstream,Core Cluster,0.6028911
539,2354005,Nalgonda,16.862759,79.13009,0.74927187,0.048158225,6.688639,8.303727,High-Portability Transit Hubs,Core Cluster,0.4470796
539,2354006,Nalgonda,16.810324,79.18503,0.67889667,0.04512591,7.6365485,9.198442,Stable Rural Mainstream,Core Cluster,0.45352805
539,2354007,Nalgonda,16.840418,79.14576,0.4722207,0.15975662,7.1482286,8.768966,High-Portability Transit Hubs,Core Cluster,0.42255452
539,2354008,Nalgonda,16.900108,79.15364,0.78496486,0.056666784,7.6332283,9.16434,Stable Rural Mainstream,Core Cluster,0.48986405
539,2354009,Nalgonda,16.900314,79.15355,0.78936654,0.091555424,7.653208,9.201849,Stable Rural Mainstream,Core Cluster,0.5057465
539,2354010,Nalgonda,16.93035,79.1644,0.9253695,0.21553908,7.4816365,9.067111,Stable Rural Mainstream,Core Cluster,0.5909328
539,2354011,Nalgonda,16.75663,79.02981,0.6694052,0.27648547,7.0350423,8.745306,High-Portability Transit Hubs,Core Cluster,0.5249656
539,2354013,Nalgonda,16.911436,79.107864,0.7236952,0.10099068,6.794711,8.340662,High-Portability Transit Hubs,Core Cluster,0.4637594
539,2354014,Nalgonda,16.922005,79.09868,0.80383205,0.0713723,7.14734,8.717806,Stable Rural Mainstream,Core Cluster,0.4866572
539,2354015,Nalgonda,16.793783,79.06059,0.62724316,0.06614066,6.644322,8.180253,High-Portability Transit Hubs,Core Cluster,0.41631868
539,2354016,Nalgonda,16.834694,79.03115,0.6326904,0.059284605,6.9305663,8.529033,High-Portability Transit Hubs,Core Cluster,0.42389944
539,2354017,Nalgonda,16.796171,79.01159,0.7354387,0.071060695,6.594525,8.198326,High-Portability Transit Hubs,Core Cluster,0.44923377
539,2354018,Nalgonda,16.874939,79.17349,0.72637737,0.042972464,6.776177,8.336697,High-Portability Transit Hubs,Core Cluster,0.44079417
539,2354019,Nalgonda,16.81819,79.1402,0.20140524,0.6725092,5.609465,7.1909876,High-Portability Transit Hubs,Noise / Anomaly,0.49970147
539,2354020,Nalgonda,16.870174,79.06676,0.79797316,0.05647122,7.7986965,9.376331,Stable Rural Mainstream,Core Cluster,0.49871114
539,2354021,Nalgonda,16.90291,79.05157,0.65485406,0.20379831,7.3717723,8.84369,Stable Rural Mainstream,Core Cluster,0.5017469
539,2354022,Nalgonda,16.902905,79.05159,0.72910976,0.8660153,5.861751,7.4354177,High-Portability Transit Hubs,Noise / Anomaly,0.74307346
539,2354023,Nalgonda,16.793785,79.0606,0.6567236,0.071641386,6.604655,8.251484,High-Portability Transit Hubs,Core Cluster,0.42615902
539,2354024,Nalgonda,16.862858,79.0369,0.62560076,0.035864763,6.6006484,8.230935,High-Portability Transit Hubs,Core Cluster,0.40238988
539,2354025,Nalgonda,16.873182,79.12036,0.7990869,0.06119195,7.489473,9.088683,Stable Rural Mainstream,Core Cluster,0.49154702
539,2354026,Nalgonda,16.892576,79.1082,0.8187202,0.06473361,7.2823043,8.849064,Stable Rural Mainstream,Core Cluster,0.49256507
539,2354027,Nalgonda,16.811628,79.03488,0.719722,0.15262476,6.95228,8.512208,High-Portability Transit Hubs,Core Cluster,0.4880041
539,2354028,Nalgonda,16.797722,79.089836,0.90048766,0.22415486,7.365127,8.947793,Stable Rural Mainstream,Core Cluster,0.5833779
539,2354029,Nalgonda,16.827162,79.076416,0.84429103,0.21514146,7.481686,9.067708,Stable Rural Mainstream,Core Cluster,0.56645167
539,2354030,Nalgonda,16.775213,79.01066,0.72170717,0.025446305,6.7892556,8.362465,High-Portability Transit Hubs,Core Cluster,0.43277964
539,2354031,Nalgonda,16.864319,79.19006,0.8384398,0.05119611,7.5936475,9.210078,Stable Rural Mainstream,Core Cluster,0.5025168
539,2354032,Nalgonda,16.83848,79.06438,0.51852196,0.0491785,6.652437,8.229097,High-Portability Transit Hubs,Core Cluster,0.3771638
539,2355001,Nalgonda,16.887308,78.96339,0.958108,0.6745671,7.2810416,8.911781,Urban Mobility-Driven,Core Cluster,0.77827644
539,2355002,Nalgonda,16.886086,78.96121,0.5178128,0.5582212,6.9175816,8.678848,High-Portability Transit Hubs,Core Cluster,0.58861667
539,2355003,Nalgonda,16.886051,78.961205,0.5993822,0.6893367,6.422176,8.469147,High-Portability Transit Hubs,Core Cluster,0.6504955
539,2355004,Nalgonda,16.9328,78.99245,0.74024296,0.05128791,6.597255,8.291097,High-Portability Transit Hubs,Core Cluster,0.4428488
539,2355005,Nalgonda,16.93632,78.969185,0.7528843,0.025632724,7.376658,9.009835,Stable Rural Mainstream,Core Cluster,0.46003807
539,2355006,Nalgonda,16.918827,78.9847,0.6125597,0.07588493,7.0813446,8.7250595,High-Portability Transit Hubs,Core Cluster,0.42907727
539,2355007,Nalgonda,16.901253,78.97472,0.6292146,0.15987527,7.5382576,9.151853,Stable Rural Mainstream,Core Cluster,0.48153952
539,2355009,Nalgonda,16.901896,79.040344,0.8502547,0.14770167,6.751155,8.335233,High-Portability Transit Hubs,Core Cluster,0.5190895
539,2355010,Nalgonda,16.874643,79.01164,0.7239702,0.06923438,7.2560954,8.839211,Stable Rural Mainstream,Core Cluster,0.46514475
539,2355011,Nalgonda,16.8975,78.92195,0.6231006,0.040538512,6.9646826,8.606397,High-Portability Transit Hubs,Core Cluster,0.41455966
539,2355012,Nalgonda,16.808283,78.99107,0.502745,0.06660617,6.86233,8.397539,High-Portability Transit Hubs,Core Cluster,0.3857731
539,2355013,Nalgonda,16.820847,79.00371,0.77219987,0.076031804,6.9963245,8.575371,Stable Rural Mainstream,Core Cluster,0.47444725
539,2355014,Nalgonda,16.92897,78.94089,0.7160788,0.045069076,7.5007405,9.1398735,Stable Rural Mainstream,Core Cluster,0.4605375
539,2355015,Nalgonda,16.789299,78.96963,0.87413317,0.30833447,7.499121,9.101084,Stable Rural Mainstream,Core Cluster,0.6132108
539,2355016,Nalgonda,16.769709,78.96742,0.6841493,0.062114444,7.299747,8.85804,Stable Rural Mainstream,Core Cluster,0.4516756
539,2355017,Nalgonda,16.827217,78.9664,0.7961831,0.16674016,7.4555526,9.0613165,Stable Rural Mainstream,Core Cluster,0.53186554
539,2355018,Nalgonda,16.74929,78.97066,0.65368396,0.06355835,6.721597,8.357291,High-Portability Transit Hubs,Core Cluster,0.42556372
539,2355019,Nalgonda,16.7812,78.94806,0.6329098,0.10180103,7.1893573,8.921683,Stable Rural Mainstream,Core Cluster,0.44882745
539,2355020,Nalgonda,16.828419,78.93233,0.6278013,0.48218122,6.9414706,8.743878,High-Portability Transit Hubs,Core Cluster,0.59192234
539,2355021,Nalgonda,16.828428,78.93233,0.7849055,0.4327134,7.5459185,9.008785,Stable Rural Mainstream,Core Cluster,0.6376146
539,2355022,Nalgonda,16.798885,78.938644,0.48132274,0.0813321,6.1646905,7.7448235,High-Portability Transit Hubs,Core Cluster,0.36405984
539,2355023,Nalgonda,16.8591,78.94412,0.69097644,0.026169583,6.8400154,8.461258,High-Portability Transit Hubs,Core Cluster,0.42539054
539,2355024,Nalgonda,16.870403,78.9083,0.6357364,0.23142105,6.989237,8.608671,High-Portability Transit Hubs,Core Cluster,0.4954488
539,2355025,Nalgonda,16.880741,78.88884,0.70159775,0.16105817,7.452684,9.04952,Stable Rural Mainstream,Core Cluster,0.50113004
539,2355026,Nalgonda,16.88854,78.93714,0.8900774,0.27966073,7.11903,8.63696,Stable Rural Mainstream,Core Cluster,0.59498686
539,2355027,Nalgonda,16.84776,78.99179,0.8197211,0.21009028,7.3256636,8.838237,Stable Rural Mainstream,Core Cluster,0.5523242
539,2355028,Nalgonda,16.905205,78.89785,0.56539696,0.050306536,7.355713,8.998171,Stable Rural Mainstream,Core Cluster,0.41302556
539,2356001,Nalgonda,16.966852,78.732605,0.92863584,0.6652782,7.4459815,9.115813,Urban Mobility-Driven,Core Cluster,0.770726
539,2356002,Nalgonda,16.966824,78.732635,1.0064015,0.6181797,7.441416,9.103008,Urban Mobility-Driven,Core Cluster,0.7750777
539,2356003,Nalgonda,16.970821,78.72833,0.5670275,0.33796778,6.9873123,8.900389,High-Portability Transit Hubs,Core Cluster,0.5173964
539,2356004,Nalgonda,16.953547,78.730255,0.7912719,0.10161249,7.6835995,9.291542,Stable Rural Mainstream,Core Cluster,0.5112635
539,2356005,Nalgonda,16.927813,78.738365,0.82131773,0.23502736,7.235322,8.818207,Stable Rural Mainstream,Core Cluster,0.56003565
539,2356006,Nalgonda,16.920212,78.75734,0.8016828,0.070212565,6.591783,8.155105,High-Portability Transit Hubs,Core Cluster,0.46868452
539,2356007,Nalgonda,16.922403,78.77762,0.5589361,0.047208726,7.3710093,8.768976,Stable Rural Mainstream,Core Cluster,0.4103125
539,2356008,Nalgonda,16.898634,78.760284,0.6185642,0.10256557,7.0197663,8.619607,High-Portability Transit Hubs,Core Cluster,0.43968165
539,2356009,Nalgonda,16.881512,78.74808,0.90753096,0.3603156,7.309405,8.93229,Stable Rural Mainstream,Core Cluster,0.6382637
539,2356010,Nalgonda,16.885122,78.747734,0.91027635,0.41365844,7.2744355,8.901278,Urban Mobility-Driven,Core Cluster,0.659363
539,2356011,Nalgonda,16.906704,78.81116,0.666705,0.034697175,6.724503,8.262141,High-Portability Transit Hubs,Core Cluster,0.41801378
539,2356012,Nalgonda,16.900057,78.79016,0.72799826,0.043737948,6.515708,7.9622474,High-Portability Transit Hubs,Core Cluster,0.43368003
539,2356013,Nalgonda,16.904081,78.81542,0.6874758,0.031345345,6.760783,8.276596,High-Portability Transit Hubs,Core Cluster,0.42400557
539,2356014,Nalgonda,16.898066,78.82464,0.58318585,0.02952146,7.1957693,8.68961,High-Portability Transit Hubs,Core Cluster,0.4051931
539,2356015,Nalgonda,16.884003,78.79648,0.89109665,0.37666917,7.402875,8.918595,Stable Rural Mainstream,Core Cluster,0.6427121
539,2356016,Nalgonda,16.884186,78.79654,0.37304154,0.66056997,5.8116684,7.479163,High-Portability Transit Hubs,Core Cluster,0.5525546
539,2356017,Nalgonda,16.85765,78.81176,0.7892389,0.15696305,7.212586,8.776736,Stable Rural Mainstream,Core Cluster,0.5184961
539,2356018,Nalgonda,16.85793,78.81136,0.5897612,0.059920665,6.9032083,8.483401,High-Portability Transit Hubs,Core Cluster,0.41044465
539,2356019,Nalgonda,16.866837,78.84309,0.48067975,0.04769241,6.092058,7.555887,High-Portability Transit Hubs,Core Cluster,0.3482063
539,2356020,Nalgonda,16.824207,78.902,0.6750103,0.08378741,7.0672183,8.622565,High-Portability Transit Hubs,Core Cluster,0.45054463
539,2356021,Nalgonda,16.839972,78.85447,0.55732435,0.24281833,6.9749136,8.462103,High-Portability Transit Hubs,Core Cluster,0.47604927
539,2356022,Nalgonda,16.839045,78.85408,0.8082988,0.3402937,7.2347856,8.730423,Stable Rural Mainstream,Core Cluster,0.5982202
539,2356023,Nalgonda,16.838093,78.893585,0.5975006,0.023447167,6.512583,8.041191,High-Portability Transit Hubs,Core Cluster,0.38631958
539,2356024,Nalgonda,16.843515,78.8369,0.6032143,0.04149819,6.8836665,8.458314,High-Portability Transit Hubs,Core Cluster,0.4065184
539,2356025,Nalgonda,16.792599,78.90809,0.72948873,0.11272634,6.7946033,8.318356,High-Portability Transit Hubs,Core Cluster,0.47018844
539,2356026,Nalgonda,16.769667,78.90761,0.72429734,0.28548196,6.6156926,8.2275505,High-Portability Transit Hubs,Core Cluster,0.53230244
539,2356027,Nalgonda,16.796646,78.858284,0.88832164,0.29009995,7.32963,8.789781,Stable Rural Mainstream,Core Cluster,0.60502857
539,2356028,Nalgonda,16.796722,78.85827,0.45664576,0.19611844,6.5465326,8.297629,High-Portability Transit Hubs,Core Cluster,0.4141622
539,2356029,Nalgonda,16.76259,78.80227,0.6446973,0.071705535,7.3295574,8.970243,Stable Rural Mainstream,Core Cluster,0.44458133
539,2356030,Nalgonda,16.778057,78.87857,0.67713916,0.23517692,6.632577,8.217253,High-Portability Transit Hubs,Core Cluster,0.49854547
539,2356031,Nalgonda,16.803156,78.81935,0.9318002,0.49052632,7.6534944,9.215527,Urban Mobility-Driven,Core Cluster,0.7080737
539,2356032,Nalgonda,16.800453,78.8211,0.76248664,0.42548388,7.6839657,9.239592,Stable Rural Mainstream,Core Cluster,0.6321876
539,2356033,Nalgonda,16.828966,78.801414,0.75909823,0.11541326,6.9047046,8.527922,High-Portability Transit Hubs,Core Cluster,0.4834882
539,2356034,Nalgonda,16.793941,78.85722,0.73733234,0.21170141,6.6206074,8.267511,High-Portability Transit Hubs,Core Cluster,0.5068499
539,2356035,Nalgonda,16.794651,78.909584,0.6841768,0.12559502,6.9044456,8.513046,High-Portability Transit Hubs,Core Cluster,0.46507663
539,2356036,Nalgonda,0.0,0.0,0.82598424,0.14534204,6.245695,7.570005,High-Portability Transit Hubs,Core Cluster,0.4955212
539,2357001,Nalgonda,16.69284,78.92273,0.9155136,0.85018265,7.098104,8.806542,Urban Mobility-Driven,Core Cluster,0.83019125
539,2357002,Nalgonda,16.694744,78.92483,1.0237496,0.5224486,6.8511515,8.545425,Urban Mobility-Driven,Core Cluster,0.72407216
539,2357003,Nalgonda,16.693432,78.92423,0.86416537,0.65763474,6.5601144,8.24083,High-Portability Transit Hubs,Core Cluster,0.72143686
539,2357005,Nalgonda,16.693714,78.91952,1.2247621,0.7546001,7.0380225,8.800716,Urban Mobility-Driven,Core Cluster,0.882909
539,2357006,Nalgonda,16.692936,78.9233,0.7164658,0.7341914,6.5923142,8.314258,High-Portability Transit Hubs,Core Cluster,0.70872706
539,2357007,Nalgonda,16.689863,78.91766,1.0182731,0.97885454,6.948091,8.630516,Urban Mobility-Driven,Core Cluster,0.9079342
539,2357009,Nalgonda,16.692356,78.92213,0.6029161,0.757716,6.335097,8.239739,High-Portability Transit Hubs,Core Cluster,0.6762641
539,2357010,Nalgonda,16.69263,78.92337,0.84949607,0.8641994,6.1713867,8.027015,High-Portability Transit Hubs,Core Cluster,0.78786206
